model,split_id,selected_fraction,selected_rows,precision_in_selected,recall_of_true_top25,f1_selected,baseline_positive_rate_test
logistic_C1_l2_unweighted,2,0.15,56,0.9464285714285714,0.5955056179775281,0.7310344827586207,0.2418478260869565
logistic_C1_l2_unweighted,2,0.2,74,0.8513513513513513,0.7078651685393258,0.7730061349693251,0.2418478260869565
logistic_C1_l2_unweighted,2,0.25,92,0.75,0.7752808988764045,0.7624309392265194,0.2418478260869565
logistic_C1_l2_unweighted,2,0.3,111,0.6396396396396397,0.797752808988764,0.71,0.2418478260869565
logistic_C1.25_l2_unweighted,2,0.1,37,0.972972972972973,0.4044943820224719,0.5714285714285714,0.2418478260869565
logistic_C1.25_l2_unweighted,2,0.15,56,0.9464285714285714,0.5955056179775281,0.7310344827586207,0.2418478260869565
logistic_C1.25_l2_unweighted,2,0.2,74,0.8378378378378378,0.6966292134831461,0.7607361963190185,0.2418478260869565
logistic_C1.25_l2_unweighted,2,0.25,92,0.7391304347826086,0.7640449438202247,0.7513812154696132,0.2418478260869565
logistic_C1.25_l2_unweighted,2,0.3,111,0.6396396396396397,0.797752808988764,0.71,0.2418478260869565
random_forest_depth4_leaf5,2,0.1,37,0.8918918918918919,0.3707865168539326,0.5238095238095238,0.2418478260869565
random_forest_depth4_leaf5,2,0.15,56,0.8571428571428571,0.5393258426966292,0.6620689655172414,0.2418478260869565
random_forest_depth4_leaf5,2,0.2,74,0.7702702702702703,0.6404494382022472,0.6993865030674846,0.2418478260869565
random_forest_depth4_leaf5,2,0.25,92,0.6739130434782609,0.6966292134831461,0.6850828729281768,0.2418478260869565
random_forest_depth4_leaf5,2,0.3,111,0.6486486486486487,0.8089887640449438,0.72,0.2418478260869565
extra_trees_depth4_leaf5,2,0.1,37,0.7567567567567568,0.3146067415730337,0.4444444444444444,0.2418478260869565
extra_trees_depth4_leaf5,2,0.15,56,0.7321428571428571,0.4606741573033708,0.5655172413793104,0.2418478260869565
extra_trees_depth4_leaf5,2,0.2,74,0.6891891891891891,0.5730337078651685,0.6257668711656442,0.2418478260869565
extra_trees_depth4_leaf5,2,0.25,92,0.6304347826086957,0.651685393258427,0.6408839779005525,0.2418478260869565
extra_trees_depth4_leaf5,2,0.3,111,0.5585585585585585,0.6966292134831461,0.62,0.2418478260869565
hist_gradient_boosting_l2,2,0.1,37,0.9459459459459459,0.39325842696629215,0.5555555555555556,0.2418478260869565
hist_gradient_boosting_l2,2,0.15,56,0.875,0.550561797752809,0.6758620689655173,0.2418478260869565
hist_gradient_boosting_l2,2,0.2,74,0.8243243243243243,0.6853932584269663,0.7484662576687117,0.2418478260869565
hist_gradient_boosting_l2,2,0.25,92,0.7391304347826086,0.7640449438202247,0.7513812154696132,0.2418478260869565
hist_gradient_boosting_l2,2,0.3,111,0.6216216216216216,0.7752808988764045,0.69,0.2418478260869565
xgboost_small_regularized,2,0.1,37,0.9459459459459459,0.39325842696629215,0.5555555555555556,0.2418478260869565
xgboost_small_regularized,2,0.15,56,0.8571428571428571,0.5393258426966292,0.6620689655172414,0.2418478260869565
xgboost_small_regularized,2,0.2,74,0.8378378378378378,0.6966292134831461,0.7607361963190185,0.2418478260869565
xgboost_small_regularized,2,0.25,92,0.7391304347826086,0.7640449438202247,0.7513812154696132,0.2418478260869565
xgboost_small_regularized,2,0.3,111,0.6216216216216216,0.7752808988764045,0.69,0.2418478260869565
lightgbm_small_regularized,2,0.1,37,0.918918918918919,0.38202247191011235,0.5396825396825397,0.2418478260869565
lightgbm_small_regularized,2,0.15,56,0.875,0.550561797752809,0.6758620689655173,0.2418478260869565
lightgbm_small_regularized,2,0.2,74,0.8243243243243243,0.6853932584269663,0.7484662576687117,0.2418478260869565
lightgbm_small_regularized,2,0.25,92,0.7391304347826086,0.7640449438202247,0.7513812154696132,0.2418478260869565
lightgbm_small_regularized,2,0.3,111,0.6216216216216216,0.7752808988764045,0.69,0.2418478260869565
catboost_small_regularized,2,0.1,37,0.918918918918919,0.38202247191011235,0.5396825396825397,0.2418478260869565
catboost_small_regularized,2,0.15,56,0.875,0.550561797752809,0.6758620689655173,0.2418478260869565
catboost_small_regularized,2,0.2,74,0.8378378378378378,0.6966292134831461,0.7607361963190185,0.2418478260869565
catboost_small_regularized,2,0.25,92,0.7282608695652174,0.7528089887640449,0.7403314917127072,0.2418478260869565
catboost_small_regularized,2,0.3,111,0.6216216216216216,0.7752808988764045,0.69,0.2418478260869565
logistic_C0.2_l2_balanced,3,0.1,38,0.868421052631579,0.35106382978723405,0.5,0.2493368700265252
logistic_C0.2_l2_balanced,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
logistic_C0.2_l2_balanced,3,0.2,76,0.8289473684210527,0.6702127659574468,0.7411764705882353,0.2493368700265252
logistic_C0.2_l2_balanced,3,0.25,95,0.7473684210526316,0.7553191489361702,0.7513227513227513,0.2493368700265252
logistic_C0.2_l2_balanced,3,0.3,114,0.6754385964912281,0.8191489361702128,0.7403846153846154,0.2493368700265252
logistic_C1_l2_balanced,3,0.1,38,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.2493368700265252
logistic_C1_l2_balanced,3,0.15,57,0.8771929824561403,0.5319148936170213,0.6622516556291391,0.2493368700265252
logistic_C1_l2_balanced,3,0.2,76,0.8421052631578947,0.6808510638297872,0.7529411764705882,0.2493368700265252
logistic_C1_l2_balanced,3,0.25,95,0.7684210526315789,0.776595744680851,0.7724867724867724,0.2493368700265252
logistic_C1_l2_balanced,3,0.3,114,0.6666666666666666,0.8085106382978723,0.7307692307692307,0.2493368700265252
logistic_C3_l2_balanced,3,0.1,38,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.2493368700265252
logistic_C3_l2_balanced,3,0.15,57,0.8947368421052632,0.5425531914893617,0.6754966887417219,0.2493368700265252
logistic_C3_l2_balanced,3,0.2,76,0.8289473684210527,0.6702127659574468,0.7411764705882353,0.2493368700265252
logistic_C3_l2_balanced,3,0.25,95,0.7578947368421053,0.7659574468085106,0.7619047619047619,0.2493368700265252
logistic_C3_l2_balanced,3,0.3,114,0.6666666666666666,0.8085106382978723,0.7307692307692307,0.2493368700265252
logistic_C0.2_l1_balanced,3,0.1,38,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.2493368700265252
logistic_C0.2_l1_balanced,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
logistic_C0.2_l1_balanced,3,0.2,76,0.8289473684210527,0.6702127659574468,0.7411764705882353,0.2493368700265252
logistic_C0.2_l1_balanced,3,0.25,95,0.7684210526315789,0.776595744680851,0.7724867724867724,0.2493368700265252
logistic_C0.2_l1_balanced,3,0.3,114,0.6842105263157895,0.8297872340425532,0.75,0.2493368700265252
logistic_C0.75_l2_unweighted,3,0.1,38,0.868421052631579,0.35106382978723405,0.5,0.2493368700265252
logistic_C0.75_l2_unweighted,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
logistic_C0.75_l2_unweighted,3,0.2,76,0.8552631578947368,0.6914893617021277,0.7647058823529411,0.2493368700265252
logistic_C0.75_l2_unweighted,3,0.25,95,0.7578947368421053,0.7659574468085106,0.7619047619047619,0.2493368700265252
logistic_C0.75_l2_unweighted,3,0.3,114,0.6578947368421053,0.7978723404255319,0.7211538461538461,0.2493368700265252
logistic_C1_l2_unweighted,3,0.1,38,0.868421052631579,0.35106382978723405,0.5,0.2493368700265252
logistic_C1_l2_unweighted,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
logistic_C1_l2_unweighted,3,0.2,76,0.8552631578947368,0.6914893617021277,0.7647058823529411,0.2493368700265252
logistic_C1_l2_unweighted,3,0.25,95,0.7578947368421053,0.7659574468085106,0.7619047619047619,0.2493368700265252
logistic_C1_l2_unweighted,3,0.3,114,0.6666666666666666,0.8085106382978723,0.7307692307692307,0.2493368700265252
logistic_C1.25_l2_unweighted,3,0.1,38,0.868421052631579,0.35106382978723405,0.5,0.2493368700265252
logistic_C1.25_l2_unweighted,3,0.15,57,0.8596491228070176,0.5212765957446809,0.6490066225165563,0.2493368700265252
logistic_C1.25_l2_unweighted,3,0.2,76,0.8421052631578947,0.6808510638297872,0.7529411764705882,0.2493368700265252
logistic_C1.25_l2_unweighted,3,0.25,95,0.7684210526315789,0.776595744680851,0.7724867724867724,0.2493368700265252
logistic_C1.25_l2_unweighted,3,0.3,114,0.6666666666666666,0.8085106382978723,0.7307692307692307,0.2493368700265252
random_forest_depth4_leaf5,3,0.1,38,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.2493368700265252
random_forest_depth4_leaf5,3,0.15,57,0.7894736842105263,0.4787234042553192,0.5960264900662252,0.2493368700265252
random_forest_depth4_leaf5,3,0.2,76,0.7631578947368421,0.6170212765957447,0.6823529411764706,0.2493368700265252
random_forest_depth4_leaf5,3,0.25,95,0.6526315789473685,0.6595744680851063,0.656084656084656,0.2493368700265252
random_forest_depth4_leaf5,3,0.3,114,0.631578947368421,0.7659574468085106,0.6923076923076923,0.2493368700265252
extra_trees_depth4_leaf5,3,0.1,38,0.7105263157894737,0.2872340425531915,0.4090909090909091,0.2493368700265252
extra_trees_depth4_leaf5,3,0.15,57,0.7017543859649122,0.425531914893617,0.5298013245033113,0.2493368700265252
extra_trees_depth4_leaf5,3,0.2,76,0.631578947368421,0.5106382978723404,0.5647058823529412,0.2493368700265252
extra_trees_depth4_leaf5,3,0.25,95,0.6,0.6063829787234043,0.6031746031746031,0.2493368700265252
extra_trees_depth4_leaf5,3,0.3,114,0.5350877192982456,0.648936170212766,0.5865384615384616,0.2493368700265252
hist_gradient_boosting_l2,3,0.1,38,0.8947368421052632,0.3617021276595745,0.5151515151515151,0.2493368700265252
hist_gradient_boosting_l2,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
hist_gradient_boosting_l2,3,0.2,76,0.8157894736842105,0.6595744680851063,0.7294117647058823,0.2493368700265252
hist_gradient_boosting_l2,3,0.25,95,0.7684210526315789,0.776595744680851,0.7724867724867724,0.2493368700265252
hist_gradient_boosting_l2,3,0.3,114,0.6842105263157895,0.8297872340425532,0.75,0.2493368700265252
xgboost_small_regularized,3,0.1,38,0.868421052631579,0.35106382978723405,0.5,0.2493368700265252
xgboost_small_regularized,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
xgboost_small_regularized,3,0.2,76,0.8289473684210527,0.6702127659574468,0.7411764705882353,0.2493368700265252
xgboost_small_regularized,3,0.25,95,0.7684210526315789,0.776595744680851,0.7724867724867724,0.2493368700265252
xgboost_small_regularized,3,0.3,114,0.6842105263157895,0.8297872340425532,0.75,0.2493368700265252
lightgbm_small_regularized,3,0.1,38,0.868421052631579,0.35106382978723405,0.5,0.2493368700265252
lightgbm_small_regularized,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
lightgbm_small_regularized,3,0.2,76,0.8289473684210527,0.6702127659574468,0.7411764705882353,0.2493368700265252
lightgbm_small_regularized,3,0.25,95,0.7578947368421053,0.7659574468085106,0.7619047619047619,0.2493368700265252
lightgbm_small_regularized,3,0.3,114,0.6842105263157895,0.8297872340425532,0.75,0.2493368700265252
catboost_small_regularized,3,0.1,38,0.8157894736842105,0.32978723404255317,0.4696969696969697,0.2493368700265252
catboost_small_regularized,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
catboost_small_regularized,3,0.2,76,0.8026315789473685,0.648936170212766,0.7176470588235294,0.2493368700265252
catboost_small_regularized,3,0.25,95,0.7368421052631579,0.7446808510638298,0.7407407407407407,0.2493368700265252
catboost_small_regularized,3,0.3,114,0.6842105263157895,0.8297872340425532,0.75,0.2493368700265252
logistic_C0.2_l2_balanced,4,0.1,38,0.9210526315789473,0.44871794871794873,0.603448275862069,0.20911528150134048
logistic_C0.2_l2_balanced,4,0.15,56,0.875,0.6282051282051282,0.7313432835820896,0.20911528150134048
logistic_C0.2_l2_balanced,4,0.2,75,0.7733333333333333,0.7435897435897436,0.7581699346405228,0.20911528150134048
logistic_C0.2_l2_balanced,4,0.25,94,0.6382978723404256,0.7692307692307693,0.6976744186046512,0.20911528150134048
logistic_C0.2_l2_balanced,4,0.3,112,0.5535714285714286,0.7948717948717948,0.6526315789473685,0.20911528150134048
logistic_C1_l2_balanced,4,0.1,38,0.9473684210526315,0.46153846153846156,0.6206896551724138,0.20911528150134048
logistic_C1_l2_balanced,4,0.15,56,0.8571428571428571,0.6153846153846154,0.7164179104477612,0.20911528150134048
logistic_C1_l2_balanced,4,0.2,75,0.7466666666666667,0.717948717948718,0.7320261437908496,0.20911528150134048
logistic_C1_l2_balanced,4,0.25,94,0.6382978723404256,0.7692307692307693,0.6976744186046512,0.20911528150134048
logistic_C1_l2_balanced,4,0.3,112,0.5535714285714286,0.7948717948717948,0.6526315789473685,0.20911528150134048
logistic_C3_l2_balanced,4,0.1,38,0.9210526315789473,0.44871794871794873,0.603448275862069,0.20911528150134048
logistic_C3_l2_balanced,4,0.15,56,0.8571428571428571,0.6153846153846154,0.7164179104477612,0.20911528150134048
logistic_C3_l2_balanced,4,0.2,75,0.7333333333333333,0.7051282051282052,0.7189542483660131,0.20911528150134048
logistic_C3_l2_balanced,4,0.25,94,0.648936170212766,0.782051282051282,0.7093023255813954,0.20911528150134048
logistic_C3_l2_balanced,4,0.3,112,0.5535714285714286,0.7948717948717948,0.6526315789473685,0.20911528150134048
logistic_C0.2_l1_balanced,4,0.1,38,0.9210526315789473,0.44871794871794873,0.603448275862069,0.20911528150134048
logistic_C0.2_l1_balanced,4,0.15,56,0.875,0.6282051282051282,0.7313432835820896,0.20911528150134048
logistic_C0.2_l1_balanced,4,0.2,75,0.72,0.6923076923076923,0.7058823529411765,0.20911528150134048
logistic_C0.2_l1_balanced,4,0.25,94,0.6702127659574468,0.8076923076923077,0.7325581395348837,0.20911528150134048
logistic_C0.2_l1_balanced,4,0.3,112,0.5714285714285714,0.8205128205128205,0.6736842105263158,0.20911528150134048
logistic_C0.75_l2_unweighted,4,0.1,38,0.9210526315789473,0.44871794871794873,0.603448275862069,0.20911528150134048
logistic_C0.75_l2_unweighted,4,0.15,56,0.8571428571428571,0.6153846153846154,0.7164179104477612,0.20911528150134048
logistic_C0.75_l2_unweighted,4,0.2,75,0.7466666666666667,0.717948717948718,0.7320261437908496,0.20911528150134048
logistic_C0.75_l2_unweighted,4,0.25,94,0.6382978723404256,0.7692307692307693,0.6976744186046512,0.20911528150134048
logistic_C0.75_l2_unweighted,4,0.3,112,0.5714285714285714,0.8205128205128205,0.6736842105263158,0.20911528150134048
