site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,next_visit_start_date,site_confidence,match_quality,site_review_reason,split_id,model,actual_repollution_kg_per_day,actual_top25,predicted_top25_score
1084,1084,ΚΕΑ 2η ΦΟΡΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 34,2020-05-16,2024-04-23,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0570236439499304,0,0.12984859300320697
1090,1090,ΚΕΑ 2η ΦΟΡΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 56,2020-05-18,2024-04-22,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.0904712163011129
1091,1091,ΚΕΑ 2η ΦΟΡΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 60 | ΚΈΑ ΠΑΡΑΛΊΑ 61,2020-05-19,2024-04-22,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0704323570432357,0,0.0900017245671862
1092,1092,ΚΕΑ 2η ΦΟΡΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 62,2020-05-20,2024-04-21,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.060185089876800275
1093,1093,ΚΕΑ 2η ΦΟΡΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 63,2020-05-20,2024-04-21,medium,canonical_medium,coordinate_spread_100_250m; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.06018881751091837
1128,1128,ΕΥΒΟΙΑ 2η ΦΟΡΑ,,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 9,2020-05-25,2026-01-17,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.020306570455808783
1143,1143,ΕΥΒΟΙΑ 2η ΦΟΡΑ,,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 61,2020-05-29,2026-01-16,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.041759555290257294
1149,1149,ΕΥΒΟΙΑ 2η ΦΟΡΑ,,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 70 | ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 71,2020-05-30,2026-01-16,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.033092529428607166
1154,1154,ΕΥΒΟΙΑ 2η ΦΟΡΑ,,ΧΕΡΣΟΝΉΣΙ ΠΑΡΑΛΊΑ 97,2020-06-01,2025-12-11,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.029897119857873702
1197,1197,ΤΗΝΟΣ,,ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (4),2020-06-09,2025-12-04,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.9495252373813092,1,1.0
1215,1215,ΤΗΝΟΣ,,ΤΉΝΟΣ ΠΑΡΑΛΊΑ 26 (1) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 26 (2),2020-06-22,2020-10-05,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,10.913461538461538,1,0.9981296824784643
1218,1218,ΤΗΝΟΣ,,ΤΉΝΟΣ ΠΑΡΑΛΊΑ 29,2020-06-25,2025-11-12,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.1180061037639877,1,0.03501535544381954
1222,1222,ΤΗΝΟΣ,ΠΑΡΑΛΊΑ ΆΣΠΡΟΣ ΓΥΑΛΌΣ,ΤΉΝΟΣ ΠΑΡΑΛΊΑ 35,2020-06-30,2025-11-12,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.312597589824015
1231,1231,ΡΗΝΕΙΑ,,ΡΉΝΕΙΑ ΠΑΡΑΛΊΑ 4,2020-07-01,2020-11-04,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.607676634527336
1234,1234,ΡΗΝΕΙΑ,ΠΑΡΑΛΊΑ ΛΥΓΊΑΣ,ΡΉΝΕΙΑ ΠΑΡΑΛΊΑ 8,2020-07-01,2020-11-04,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.5555555555555556,1,0.7171418204530194
1238,1238,ΡΗΝΕΙΑ,,ΡΉΝΕΙΑ ΠΑΡΑΛΊΑ 20 | ΡΉΝΕΙΑ ΠΑΡΑΛΊΑ 21 (1) | ΡΉΝΕΙΑ ΠΑΡΑΛΊΑ 21 (2),2020-07-02,2020-11-09,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.1937984496124031,1,0.7767464160478705
1241,1241,ΡΗΝΕΙΑ,,ΡΉΝΕΙΑ ΠΑΡΑΛΊΑ 26,2020-07-03,2020-12-02,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.6007076662882614
1314,1314,ΣΚΙΑΘΟΣ (ΤΣΟΥΓΚΡΙΑ),,ΣΚΙΆΘΟΣ ΠΑΡΑΛΊΑ 40,2020-08-03,2021-10-15,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0182648401826484,0,0.3786860535547566
1314,1314,ΣΚΙΑΘΟΣ (ΤΣΟΥΓΚΡΙΑ),,ΣΚΙΆΘΟΣ ΠΑΡΑΛΊΑ 30,2021-10-15,2024-03-23,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.38044491652989887
1316,1316,ΣΚΙΑΘΟΣ (ΤΣΟΥΓΚΡΙΑ),,ΣΚΙΆΘΟΣ ΠΑΡΑΛΊΑ 43 | ΣΚΙΆΘΟΣ ΠΑΡΑΛΊΑ 44,2020-08-04,2024-03-23,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.12935042369154331
1324,1324,ΣΚΙΑΘΟΣ (ΤΣΟΥΓΚΡΙΑ),,ΣΚΙΆΘΟΣ ΠΑΡΑΛΊΑ 56,2020-08-05,2024-03-26,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.11997569804749797
1332,1332,ΣΚΟΠΕΛΟΣ,,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 1,2020-08-07,2025-09-13,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.09385726523425218
1334,1334,ΣΚΟΠΕΛΟΣ,,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 3,2020-08-07,2025-09-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.060703653261451156
1337,1337,ΣΚΟΠΕΛΟΣ,,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 6,2020-08-07,2025-09-13,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.05905321840276483
1339,1339,ΣΚΟΠΕΛΟΣ,,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 8,2020-08-19,2025-09-15,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.06398549813631664
1351,1351,ΣΚΟΠΕΛΟΣ,ΠΑΡΑΛΊΑ ΧΙΛΙΆ ΣΤΕΦΆΝΙ,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 24,2020-08-21,2025-09-17,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.059363194819212,0,0.0975461917147011
