model,C,class_weight,split_id,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5,balanced_accuracy_at_0_5
logistic_C1.5_balanced,1.5,balanced,2,0.8162157458181598,0.8594901534372357,0.7165775401069518,0.6836734693877551,0.7528089887640449,0.8208489388264668
logistic_C1.5_balanced,1.5,balanced,3,0.8090571443365562,0.9103826779941357,0.7203791469194313,0.6495726495726496,0.8085106382978723,0.8318171566047665
logistic_C1.5_balanced,1.5,balanced,4,0.7861361054715146,0.8721425467188177,0.7011494252873564,0.6354166666666666,0.782051282051282,0.8317036071273359
logistic_C1.5_balanced,1.5,balanced,5,0.8260109930628329,0.908533365825921,0.7473684210526316,0.6893203883495146,0.8160919540229885,0.851508874537996
logistic_C1.5_unweighted,1.5,None,1,0.7977796958176634,0.8857917150600076,0.7284768211920529,0.9016393442622951,0.6111111111111112,0.7951025938830817
logistic_C1.5_unweighted,1.5,None,2,0.8185694924596174,0.8584430751882727,0.7468354430379747,0.855072463768116,0.6629213483146067,0.8135395272038983
logistic_C1.5_unweighted,1.5,None,3,0.8076043997976259,0.9073753853093751,0.7469879518072289,0.8611111111111112,0.6595744680851063,0.812119389519585
logistic_C1.5_unweighted,1.5,None,4,0.7868081695847868,0.8744893524554541,0.7375886524822695,0.8253968253968254,0.6666666666666666,0.8146892655367232
logistic_C1.5_unweighted,1.5,None,5,0.8333022262274073,0.9152349620242882,0.779874213836478,0.8611111111111112,0.7126436781609196,0.8386539945574916
logistic_C2_balanced,2.0,balanced,1,0.8054846000239054,0.884243128145567,0.7291666666666666,0.6862745098039216,0.7777777777777778,0.8331397599690282
logistic_C2_balanced,2.0,balanced,2,0.8141293018550975,0.8582819862268938,0.7204301075268817,0.6907216494845361,0.7528089887640449,0.8226410535218074
logistic_C2_balanced,2.0,balanced,3,0.8113545275382757,0.9114728215923614,0.7238095238095238,0.6551724137931034,0.8085106382978723,0.8335839410570633
logistic_C2_balanced,2.0,balanced,4,0.785560405516297,0.8718817905258583,0.7085714285714285,0.6391752577319587,0.7948717948717948,0.8381138635375923
logistic_C2_balanced,2.0,balanced,5,0.8240302133443902,0.9067462735063564,0.7513227513227513,0.696078431372549,0.8160919540229885,0.8532756589902928
logistic_C2_unweighted,2.0,None,1,0.7966458089157262,0.8850948509485095,0.7284768211920529,0.9016393442622951,0.6111111111111112,0.7951025938830817
logistic_C2_unweighted,2.0,None,2,0.8174950443384746,0.8578389915831016,0.7468354430379747,0.855072463768116,0.6629213483146067,0.8135395272038983
logistic_C2_unweighted,2.0,None,3,0.8096655959538948,0.9088414404931959,0.7393939393939394,0.8591549295774648,0.648936170212766,0.8068002405834147
logistic_C2_unweighted,2.0,None,4,0.7856742759679533,0.8735332464146023,0.7222222222222222,0.7878787878787878,0.6666666666666666,0.8096045197740113
logistic_C2_unweighted,2.0,None,5,0.831557529051217,0.913691564111937,0.779874213836478,0.8611111111111112,0.7126436781609196,0.8386539945574916
logistic_C3_balanced,3.0,balanced,1,0.8045393366627992,0.8825009678668216,0.7329842931937173,0.693069306930693,0.7777777777777778,0.834881920247774
logistic_C3_balanced,3.0,balanced,2,0.8126775695843282,0.8568724578148282,0.7243243243243244,0.6979166666666666,0.7528089887640449,0.824433168217148
logistic_C3_balanced,3.0,balanced,3,0.8115706820236812,0.9121118712878731,0.7238095238095238,0.6551724137931034,0.8085106382978723,0.8335839410570633
logistic_C3_balanced,3.0,balanced,4,0.7821442668219777,0.8707518470230335,0.7005649717514124,0.6262626262626263,0.7948717948717948,0.8347240330291177
logistic_C3_balanced,3.0,balanced,5,0.8223826969346274,0.9048779497177206,0.7473684210526316,0.6893203883495146,0.8160919540229885,0.851508874537996
logistic_C3_unweighted,3.0,None,1,0.7966654132226918,0.8840882694541231,0.7284768211920529,0.9016393442622951,0.6111111111111112,0.7951025938830817
logistic_C3_unweighted,3.0,None,2,0.8124818309823929,0.8571543634972414,0.75,0.8450704225352113,0.6741573033707865,0.8173653900366478
logistic_C3_unweighted,3.0,None,3,0.811318583083246,0.9099691752499812,0.7393939393939394,0.8591549295774648,0.648936170212766,0.8068002405834147
logistic_C3_unweighted,3.0,None,4,0.7822817529065529,0.872142546718818,0.7222222222222222,0.7878787878787878,0.6666666666666666,0.8096045197740113
logistic_C3_unweighted,3.0,None,5,0.8320586650072221,0.9123918606067991,0.779874213836478,0.8611111111111112,0.7126436781609196,0.8386539945574916
logistic_C5_balanced,5.0,balanced,1,0.8017275890329422,0.8794812233836625,0.7291666666666666,0.6862745098039216,0.7777777777777778,0.8331397599690282
logistic_C5_balanced,5.0,balanced,2,0.8076392559068534,0.8561072852482784,0.7282608695652174,0.7052631578947368,0.7528089887640449,0.8262252829124884
logistic_C5_balanced,5.0,balanced,3,0.8146717732306213,0.9140666115329675,0.7368421052631579,0.6695652173913044,0.8191489361702128,0.8424366588978273
logistic_C5_balanced,5.0,balanced,4,0.7796276874517143,0.8687961755758367,0.6966292134831461,0.62,0.7948717948717948,0.8330291177748805
logistic_C5_balanced,5.0,balanced,5,0.8199588836102322,0.9026034685837294,0.7395833333333334,0.6761904761904762,0.8160919540229885,0.8479753056334024
logistic_C5_unweighted,5.0,None,1,0.796335527640714,0.8817266744096013,0.7236842105263158,0.8870967741935484,0.6111111111111112,0.7933604336043361
logistic_C5_unweighted,5.0,None,2,0.8091884322817611,0.8563489186903467,0.75,0.8450704225352113,0.6741573033707865,0.8173653900366478
logistic_C5_unweighted,5.0,None,3,0.8133536892171005,0.9115104127509212,0.7425149700598802,0.8493150684931506,0.6595744680851063,0.8103526050672881
logistic_C5_unweighted,5.0,None,4,0.777844165222757,0.87083876575402,0.7172413793103448,0.7761194029850746,0.6666666666666666,0.807909604519774
logistic_C5_unweighted,5.0,None,5,0.8290555624463789,0.9105641525526988,0.7875,0.863013698630137,0.7241379310344828,0.8444011209942732
