model,family,split_id,target_threshold_train,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5
xgb_d3_lr0.02_n300_reg,xgboost,3,0.08086093914398546,0.8048455309581815,0.9166604014735734,0.7425742574257426,0.6944444444444444,0.7978723404255319
xgb_d3_lr0.02_n300_reg,xgboost,4,0.08965532467628037,0.7541854715872901,0.8730117340286832,0.651685393258427,0.58,0.7435897435897436
xgb_d3_lr0.02_n300_reg,xgboost,5,0.083669936526255,0.7651128452464526,0.8934649283132284,0.7407407407407407,0.6862745098039216,0.8045977011494253
xgb_d3_lr0.04_n200_reg,xgboost,1,0.081999739786625,0.7856044198773732,0.8901277584204415,0.6984126984126984,0.6666666666666666,0.7333333333333333
xgb_d3_lr0.04_n200_reg,xgboost,2,0.0816462571597866,0.7858221166455969,0.8714510088196207,0.7040816326530612,0.6448598130841121,0.7752808988764045
xgb_d3_lr0.04_n200_reg,xgboost,3,0.08086093914398546,0.8160587026499183,0.9200811969024886,0.746268656716418,0.7009345794392523,0.7978723404255319
xgb_d3_lr0.04_n200_reg,xgboost,4,0.08965532467628037,0.7574801433825487,0.8750108648413734,0.6480446927374302,0.5742574257425742,0.7435897435897436
xgb_d3_lr0.04_n200_reg,xgboost,5,0.083669936526255,0.7613071151970856,0.895820640916291,0.7368421052631579,0.6796116504854369,0.8045977011494253
xgb_d3_lr0.07_n140_reg,xgboost,1,0.081999739786625,0.7670409549397953,0.8845141308555943,0.6878306878306878,0.6565656565656566,0.7222222222222222
xgb_d3_lr0.07_n140_reg,xgboost,2,0.0816462571597866,0.7861921930477103,0.872236317506343,0.711340206185567,0.6571428571428571,0.7752808988764045
xgb_d3_lr0.07_n140_reg,xgboost,3,0.08086093914398546,0.8119845212604593,0.919818058792572,0.746268656716418,0.7009345794392523,0.7978723404255319
xgb_d3_lr0.07_n140_reg,xgboost,4,0.08965532467628037,0.7577633003151849,0.8758583224684919,0.659217877094972,0.5841584158415841,0.7564102564102564
xgb_d3_lr0.07_n140_reg,xgboost,5,0.083669936526255,0.7582419596342215,0.8920433776044839,0.7368421052631579,0.6796116504854369,0.8045977011494253
lgbm_leaves3_lr0.02_n350_reg,lightgbm,1,0.081999739786625,0.7782576959377292,0.8849012775842044,0.6974358974358974,0.6476190476190476,0.7555555555555555
lgbm_leaves3_lr0.02_n350_reg,lightgbm,2,0.0816462571597866,0.8035549942803992,0.8788208288027061,0.69,0.6216216216216216,0.7752808988764045
lgbm_leaves3_lr0.02_n350_reg,lightgbm,3,0.08086093914398546,0.8134574067962557,0.9154574843996691,0.7298578199052133,0.6581196581196581,0.8191489361702128
lgbm_leaves3_lr0.02_n350_reg,lightgbm,4,0.08965532467628037,0.7438778083240062,0.8654932637983486,0.6096256684491979,0.5229357798165137,0.7307692307692307
lgbm_leaves3_lr0.02_n350_reg,lightgbm,5,0.083669936526255,0.7899547300415342,0.9007960683968969,0.7216494845360825,0.6542056074766355,0.8045977011494253
lgbm_leaves3_lr0.04_n220_reg,lightgbm,1,0.081999739786625,0.7759901132466923,0.8851722802942316,0.7046632124352331,0.6601941747572816,0.7555555555555555
lgbm_leaves3_lr0.04_n220_reg,lightgbm,2,0.0816462571597866,0.8024652084571724,0.8778341589142603,0.6798029556650246,0.6052631578947368,0.7752808988764045
lgbm_leaves3_lr0.04_n220_reg,lightgbm,3,0.08086093914398546,0.8133022965424227,0.9175437936997218,0.7368421052631579,0.6695652173913044,0.8191489361702128
lgbm_leaves3_lr0.04_n220_reg,lightgbm,4,0.08965532467628037,0.7552011837016603,0.8703172533681008,0.6129032258064516,0.5277777777777778,0.7307692307692307
lgbm_leaves3_lr0.04_n220_reg,lightgbm,5,0.083669936526255,0.791698590888359,0.9011209942731814,0.7216494845360825,0.6542056074766355,0.8045977011494253
lgbm_leaves3_lr0.07_n150_reg,lightgbm,1,0.081999739786625,0.7799861958933016,0.887669376693767,0.6947368421052632,0.66,0.7333333333333333
lgbm_leaves3_lr0.07_n150_reg,lightgbm,2,0.0816462571597866,0.798035399165285,0.8755386412146108,0.69,0.6216216216216216,0.7752808988764045
