analysis_type,feature_set,detail,split_id,n_features,features,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
leave_one_out,minus_wind_direction_previous,wind_direction_previous,4,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7794698693853064,0.8899608865710561,0.6971428571428572,0.6288659793814433,0.782051282051282,0.8300086918730987
leave_one_out,minus_wind_direction_previous,wind_direction_previous,5,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8013510954357671,0.9128386336866903,0.7539267015706806,0.6923076923076923,0.8275862068965517,0.8572560009747776
leave_one_out,minus_wind_speed_previous,wind_speed_previous,1,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.7951051971797974,0.8971351142082851,0.7619047619047619,0.7272727272727273,0.8,0.8529616724738676
leave_one_out,minus_wind_speed_previous,wind_speed_previous,2,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8156018391059716,0.8656518062099794,0.7083333333333334,0.6601941747572816,0.7640449438202247,0.8192984575731947
leave_one_out,minus_wind_speed_previous,wind_speed_previous,3,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.8018275581031221,0.9064356063453876,0.7437185929648241,0.7047619047619048,0.7872340425531915,0.8388467032553943
leave_one_out,minus_wind_speed_previous,wind_speed_previous,4,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7816290353476825,0.8821816601477619,0.6777777777777778,0.5980392156862745,0.782051282051282,0.8215341156019123
leave_one_out,minus_wind_speed_previous,wind_speed_previous,5,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8084682475911182,0.9116201616506234,0.75,0.6857142857142857,0.8275862068965517,0.8554892165224808
leave_one_out,minus_region,region,1,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.7831265109447508,0.897406116918312,0.7106598984771574,0.6542056074766355,0.7777777777777778,0.8244289585753
leave_one_out,minus_region,region,2,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8030854210313538,0.861221859772059,0.6907216494845361,0.638095238095238,0.7528089887640449,0.8083041359590835
leave_one_out,minus_region,region,3,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.7798975299823089,0.8884670325539432,0.751219512195122,0.6936936936936937,0.8191489361702128,0.8495037967070145
