scope,split_id,feature_set,model,n_features,rows_test,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
broad,5,base_11_plus_repollution_core,logistic_balanced,13,556,0.1330998248686515,0.24820143884892087,0.7111023934273405,0.8653352749462591,0.6967741935483871,0.627906976744186,0.782608695652174,0.814749323902642
broad,5,base_11_plus_repollution_core,random_forest_balanced,13,556,0.1330998248686515,0.24820143884892087,0.68900448883276,0.8706400388322585,0.6996699669966997,0.6424242424242425,0.7681159420289855,0.8134838083350668
broad,5,base_11_plus_repollution_core,extra_trees_balanced,13,556,0.1330998248686515,0.24820143884892087,0.6392667984727055,0.8501837597947438,0.653968253968254,0.5819209039548022,0.7463768115942029,0.7846716593856182
broad,1,base_11_plus_size,baseline_all_negative,13,540,0.147982062780269,0.21481481481481482,0.21481481481481482,0.5,0.0,0.0,0.0,0.5
broad,1,base_11_plus_size,logistic_balanced,13,540,0.147982062780269,0.21481481481481482,0.4926438890789585,0.7696811971372804,0.5051903114186851,0.42196531791907516,0.6293103448275862,0.6967306441119063
broad,1,base_11_plus_size,random_forest_balanced,13,540,0.147982062780269,0.21481481481481482,0.602722372442792,0.8159564085881588,0.5627376425855514,0.5034013605442177,0.6379310344827587,0.732880611581002
broad,1,base_11_plus_size,extra_trees_balanced,13,540,0.147982062780269,0.21481481481481482,0.546851526204996,0.7965801886792453,0.5362318840579711,0.4625,0.6379310344827587,0.7175504229017566
broad,2,base_11_plus_size,baseline_all_negative,13,552,0.1251448435689455,0.2717391304347826,0.2717391304347826,0.5,0.0,0.0,0.0,0.5
broad,2,base_11_plus_size,logistic_balanced,13,552,0.1251448435689455,0.2717391304347826,0.5705290461039368,0.7886401326699835,0.603448275862069,0.5303030303030303,0.7,0.7343283582089553
broad,2,base_11_plus_size,random_forest_balanced,13,552,0.1251448435689455,0.2717391304347826,0.5951874712655154,0.8090298507462688,0.588957055214724,0.5454545454545454,0.64,0.720497512437811
broad,2,base_11_plus_size,extra_trees_balanced,13,552,0.1251448435689455,0.2717391304347826,0.573436819283675,0.7959701492537313,0.577259475218659,0.5129533678756477,0.66,0.7130845771144279
broad,3,base_11_plus_size,baseline_all_negative,13,549,0.13756187540861115,0.22768670309653916,0.22768670309653916,0.5,0.0,0.0,0.0,0.5
broad,3,base_11_plus_size,logistic_balanced,13,549,0.13756187540861115,0.22768670309653916,0.5537854773623465,0.7798679245283019,0.5538461538461539,0.45,0.72,0.7302830188679246
broad,3,base_11_plus_size,random_forest_balanced,13,549,0.13756187540861115,0.22768670309653916,0.5637861327884206,0.8141132075471699,0.5608856088560885,0.5205479452054794,0.608,0.7214528301886792
broad,3,base_11_plus_size,extra_trees_balanced,13,549,0.13756187540861115,0.22768670309653916,0.5444511915388766,0.8028962264150944,0.570446735395189,0.5,0.664,0.734122641509434
broad,4,base_11_plus_size,baseline_all_negative,13,537,0.147711928972301,0.21601489757914338,0.21601489757914338,0.5,0.0,0.0,0.0,0.5
broad,4,base_11_plus_size,logistic_balanced,13,537,0.147711928972301,0.21601489757914338,0.5578040909277889,0.8119624866901466,0.5958904109589042,0.4943181818181818,0.75,0.7692992874109263
broad,4,base_11_plus_size,random_forest_balanced,13,537,0.147711928972301,0.21601489757914338,0.5936322432018974,0.8426570562699647,0.587360594795539,0.5163398692810458,0.6810344827586207,0.7526312556310918
broad,4,base_11_plus_size,extra_trees_balanced,13,537,0.147711928972301,0.21601489757914338,0.5785991399541428,0.8311901056597593,0.5763888888888888,0.48255813953488375,0.7155172413793104,0.7520579081005816
broad,5,base_11_plus_size,baseline_all_negative,13,556,0.1330998248686515,0.24820143884892087,0.24820143884892087,0.5,0.0,0.0,0.0,0.5
broad,5,base_11_plus_size,logistic_balanced,13,556,0.1330998248686515,0.24820143884892087,0.48552900543843475,0.769988211635809,0.5301204819277109,0.4536082474226804,0.6376811594202898,0.6920463213369392
broad,5,base_11_plus_size,random_forest_balanced,13,556,0.1330998248686515,0.24820143884892087,0.5680414203599278,0.8028916163927605,0.5723905723905723,0.5345911949685535,0.6159420289855072,0.7194542680812703
broad,5,base_11_plus_size,extra_trees_balanced,13,556,0.1330998248686515,0.24820143884892087,0.5635428825984188,0.8033856875390055,0.5893416927899686,0.5193370165745856,0.6811594202898551,0.7365127244989945
broad,1,base_11_plus_all_repollution_specific,baseline_all_negative,15,540,0.147982062780269,0.21481481481481482,0.21481481481481482,0.5,0.0,0.0,0.0,0.5
broad,1,base_11_plus_all_repollution_specific,logistic_balanced,15,540,0.147982062780269,0.21481481481481482,0.7364633936717253,0.8557051073519844,0.6666666666666666,0.5796178343949044,0.7844827586206896,0.8144111906310996
broad,1,base_11_plus_all_repollution_specific,random_forest_balanced,15,540,0.147982062780269,0.21481481481481482,0.7241058248688523,0.8721535458685752,0.6363636363636364,0.5675675675675675,0.7241379310344828,0.7865972674040338
