site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,repollution_risk_score,actual_top25_training_label,priority_rank,priority_percentile,priority_band
1602,1602,ΨΑΡΑ ,,ΨΑΡΆ ΠΑΡΑΛΊΑ 33 | ΨΑΡΆ ΠΑΡΑΛΊΑ 34 | ΨΑΡΆ ΠΑΡΑΛΊΑ 35,2020-12-16,2020-12-16,2025-08-16,2025-08-16,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0,0.0,1704,0.07279758116803378,0,919,0.6130753835890593,below_top_30_percent
3878,3878,ΣΙΦΝΟΣ,ΠΑΡΑΛΊΑ ΣΑΟΎΡΕΣ,ΣΊΦΝΟΣ ΠΑΡΑΛΊΑ 19 | ΣΊΦΝΟΣ ΠΑΡΑΛΊΑ 20,2022-12-25,2022-12-25,2024-05-13,2024-05-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,505,0.07191406015830634,0,920,0.6137424949966644,below_top_30_percent
3877,3877,ΣΙΦΝΟΣ,,ΣΊΦΝΟΣ ΠΑΡΑΛΊΑ 18,2022-12-25,2022-12-25,2024-05-13,2024-05-13,high,canonical_high,multiple_special_numbers,0.0,0.0,505,0.0719139937720937,0,921,0.6144096064042696,below_top_30_percent
154,154,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΦΟΥΡΝΩΤΉ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 60,2019-10-27,2019-10-27,2023-02-15,2023-02-15,high,canonical_high,multiple_special_numbers,0.0,0.0,1207,0.07148920545334554,0,922,0.6150767178118746,below_top_30_percent
155,155,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΑΛΌΓΕΡΟΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 61,2019-10-27,2019-10-27,2023-02-15,2023-02-15,high,canonical_high,multiple_special_numbers,0.0,0.0,1207,0.07148917702886491,0,923,0.6157438292194797,below_top_30_percent
530,530,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΈΞΩ ΚΑΠΟΊ,ΛΑΚΩΝΊΑ ΠΑΡΑΛΊΑ 110,2023-05-01,2023-05-01,2024-06-22,2024-06-22,medium,canonical_medium,multiple_special_numbers; multiple_regions,0.0,42.0,418,0.07100823434816857,0,924,0.6164109406270847,below_top_30_percent
1338,1338,ΣΚΟΠΕΛΟΣ,,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 7,2020-08-07,2020-08-07,2025-09-13,2025-09-13,high,canonical_high,multiple_special_numbers,0.0,33.0,1863,0.07092129618110386,0,925,0.6170780520346898,below_top_30_percent
3328,3328,ΚΕΡΚΥΡΑ,,ΚΈΡΚΥΡΑ ΠΑΡΑΛΊΑ 184,2022-08-14,2022-08-14,2024-09-13,2024-09-13,high,canonical_high,multiple_special_numbers,0.0,0.0,761,0.07089844438284887,0,926,0.6177451634422949,below_top_30_percent
3326,3326,ΚΕΡΚΥΡΑ,,ΚΈΡΚΥΡΑ ΠΑΡΑΛΊΑ 182,2022-08-14,2022-08-14,2024-09-13,2024-09-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,761,0.07085636649270714,0,927,0.6184122748498999,below_top_30_percent
4320,4320,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΛΑΚΩΝΊΑ ΠΑΡΑΛΊΑ 32,2023-04-26,2023-04-26,2024-06-25,2024-06-25,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0586854460093896,60.0,426,0.07055141630794999,0,928,0.619079386257505,below_top_30_percent
