site_id,region,beach_name,beaches,latitude,longitude,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,days_between_visits,previous_total_weight,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,previous_recycle,previous_non_recycle,previous_blue_net,next_recycle,next_non_recycle,next_blue_net,orientation,sediment,wind_direction_previous,wind_speed_previous,road_network,tourist_business,coastline_cleaned,width_length,previous_source_files,next_source_files,match_quality,site_review_reason
20,ΜΕΘΑΝΑ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 58,37.575111,23.359556,2025-11-06,2025-11-06,2026-02-04,2026-02-04,90,122.0,344.0,3.8222222222222224,114.66666666666667,344.0,32.0,85.0,5.0,107.0,237.0,0.0,ΔΥΤΙΚΗ,Mixed,NE,3.5,0,0,215.0,2357.0,Typhoon2,Typhoon2,identity_review,probable; multiple_regions
22,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΣΑΡΑΝΤΟΚΟΎΠΙ,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 10,37.648358,23.164814,2019-09-06,2019-09-06,2023-08-05,2023-08-05,1429,210.0,40.0,0.02799160251924423,0.8397480755773269,2.5192442267319803,0.0,210.0,0.0,19.0,21.0,0.0,East,Pebbles,NE,2.0,0,0,33.0,94.0,Typhoon1,Typhoon2,identity_review,multiple_regions; multiple_beach_names
23,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 11,37.582833,23.235325,2019-09-06,2019-09-06,2023-08-02,2023-08-05,1426,217.0,87.0,0.061009817671809255,1.8302945301542777,5.490883590462833,0.0,217.0,0.0,19.0,61.0,7.0,North,Pebbles,NE,2.0,0,0,135.0,874.0,Typhoon1,Typhoon2,identity_review,multiple_regions
24,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 12,37.692478,23.162006,2019-09-07,2019-09-07,2023-08-06,2023-08-06,1429,22.0,21.0,0.01469559132260322,0.44086773967809656,1.3226032190342898,0.0,22.0,0.0,4.0,8.0,9.0,East,Pebbles,NE,3.0,0,0,23.0,84.0,Typhoon1,Typhoon2,identity_review,multiple_regions
25,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 13,37.696281,23.165869,2019-09-07,2019-09-07,2023-08-06,2023-08-06,1429,22.0,123.0,0.086074177746676,2.58222533240028,7.74667599720084,0.0,22.0,0.0,14.0,21.0,88.0,East,Pebbles,NE,3.0,0,0,28.0,139.0,Typhoon1,Typhoon2,identity_review,multiple_regions
26,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (1) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (2),37.713333,23.158167,2019-09-07,2019-09-08,2023-08-06,2023-08-08,1428,1094.0,247.0,0.17296918767507002,5.189075630252101,15.567226890756302,0.0,1094.0,0.0,70.0,129.0,48.0,East,Pebbles,NE,3.0,0,0,166.0,720.0,Typhoon1,Typhoon2,identity_review,multiple_regions
27,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΓΚΊΣΤΡΙ ΠΑΡΑΛΊΑ 15,37.726219,23.126111,2019-09-08,2019-09-08,2023-08-07,2023-08-07,1429,155.0,271.0,0.18964310706787962,5.689293212036389,17.067879636109165,0.0,155.0,0.0,138.0,81.0,52.0,East,Pebbles,SW,3.0,0,0,255.0,1880.0,Typhoon1,Typhoon2,identity_review,multiple_regions
33,ΣΕΡΙΦΟΣ,,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 5,37.18315,24.445653,2019-09-17,2019-09-17,2024-04-25,2024-04-25,1682,387.0,154.0,0.09155766944114149,2.7467300832342447,8.240190249702735,0.0,387.0,0.0,75.0,54.0,25.0,North,Pebbles,N,2.0,0,0,144.0,1990.0,Typhoon1,Typhoon2,strong,ok
34,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΣΚΆΛΑ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 6,37.204192,24.47775,2019-09-17,2019-09-17,2024-04-24,2024-04-24,1681,0.0,202.0,0.12016656751933373,3.604997025580012,10.814991076740036,0.0,0.0,0.0,67.0,63.0,72.0,North,Sand,N,2.0,0,0,,,Typhoon1,Typhoon2,strong,ok
35,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΌ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 7,37.200244,24.51365,2019-09-17,2019-09-17,2024-04-24,2024-04-24,1681,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,North,Mixed,N,2.0,0,0,52.0,843.0,Typhoon1,Typhoon2,strong,ok
